stok_awal,stok_akhir,terjual,label
392.0,310.0,90.0,Baju Koko Al-Bagus tanggung
400.0,320.0,80.0,Baju Koko Al-Bagus Polos
300.0,228.0,72.0,Baju Batik Katun
240.0,192.0,48.0,Baju Batik Sablon
300.0,192.0,108.0,Celana Levis Sigrafaini
600.0,408.0,192.0,Celana Levis Tevano
180.0,144.0,36.0,Kemeja stret
180.0,108.0,72.0,Kemeja polos
240.0,108.0,132.0,Kemeja Motif
180.0,144.0,36.0,Hem Stret
180.0,144.0,36.0,Hem motif
360.0,246.0,114.0,Hem Poly
200.0,120.0,80.0,Daster Cap
200.0,120.0,80.0,Longdress Cap
300.0,120.0,180.0,Daster Alviani
200.0,120.0,80.0,Longdress Alviani
120.0,60.0,60.0,Celana Combat
600.0,408.0,192.0,Celana Twist blaksad
240.0,168.0,72.0,Celana twist slimpit F4
240.0,168.0,72.0,Celana twist Cafarana
